company_name,region_name,map_country,coverage_status,note,unknown_type
Catapult,CAF / Continental Africa,Cameroon,unknown,,
Catapult,CAF / Continental Africa,Kenya,unknown,,
Catapult,CAF / Continental Africa,Tanzania,unknown,,
Catapult,CAF / Continental Africa,Zambia,unknown,,
Catapult,CAF / Continental Africa,Mali,unknown,,
Catapult,CAF / Continental Africa,Ethiopia,unknown,,
Catapult,CAF / Continental Africa,Uganda,unknown,,
Catapult,CAF / Continental Africa,Zimbabwe,unknown,,
Catapult,CAF / Continental Africa,Angola,unknown,,
Catapult,CAF / Continental Africa,Mozambique,unknown,,
Catapult,CAF / Continental Africa,DR Congo,unknown,,
Catapult,CAF / Continental Africa,Rwanda,unknown,,
Catapult,CAF / Continental Africa,Burkina Faso,unknown,,
Catapult,CAF / Continental Africa,Guinea,unknown,,
Catapult,CAF / Continental Africa,Benin,unknown,,
Catapult,CAF / Continental Africa,Togo,unknown,,
Catapult,CAF / Continental Africa,Sierra Leone,unknown,,
Catapult,CAF / Continental Africa,Liberia,unknown,,
Catapult,CAF / Continental Africa,Gabon,unknown,,
Catapult,CAF / Continental Africa,Congo,unknown,,
Catapult,CAF / Continental Africa,Namibia,unknown,,
Catapult,CAF / Continental Africa,Botswana,unknown,,
Catapult,CAF / Continental Africa,Malawi,unknown,,
Catapult,CAF / Continental Africa,Madagascar,unknown,,
Catapult,CAF / Continental Africa,Sudan,unknown,,
Catapult,CAF / Continental Africa,Libya,unknown,,
Catapult,CAF / Continental Africa,Mauritania,unknown,,
Catapult,CAF / Continental Africa,Niger,unknown,,
Catapult,CAF / Continental Africa,Chad,unknown,,
Catapult,CAF / Continental Africa,Central African Republic,unknown,,
Catapult,CAF / Continental Africa,Eritrea,unknown,,
Catapult,CAF / Continental Africa,Djibouti,unknown,,
Catapult,CAF / Continental Africa,Somalia,unknown,,
Catapult,CAF / Continental Africa,Burundi,unknown,,
Catapult,CAF / Continental Africa,Eswatini,unknown,,
Catapult,CAF / Continental Africa,Lesotho,unknown,,
Catapult,CAF / Continental Africa,Gambia,unknown,,
Catapult,CAF / Continental Africa,Guinea-Bissau,unknown,,
Catapult,CAF / Continental Africa,Cape Verde,unknown,,
Catapult,CAF / Continental Africa,Equatorial Guinea,unknown,,
Catapult,CAF / Continental Africa,Comoros,unknown,,
Catapult,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Morocco,none,,
Catapult,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Algeria,none,,
Catapult,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Tunisia,none,,
Catapult,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Egypt,none,,
Catapult,South America,Brazil,full,,
Catapult,South America,Argentina,full,,
Catapult,South America,Uruguay,full,,
Catapult,South America,Chile,full,,
Catapult,South America,Colombia,full,,
Catapult,South America,Peru,full,,
Catapult,South America,Ecuador,full,,
Catapult,South America,Paraguay,full,,
Catapult,South America,Bolivia,full,,
Catapult,South America,Venezuela,full,,
Genius Sports,Europe (major leagues),England,full,"Also confirmed Genius Sports/Football DataCo long-term partnership (see region-level partnership record, extended through 2029)",
Genius Sports,Europe (major leagues),Spain,full,,
Genius Sports,Europe (major leagues),Germany,full,,
Genius Sports,Europe (major leagues),France,full,,
Genius Sports,Europe (major leagues),Italy,full,,
Genius Sports,Europe (major leagues),Netherlands,full,,
Genius Sports,Europe (major leagues),Portugal,full,,
Genius Sports,Europe (major leagues),Belgium,full,,
Genius Sports,Europe (major leagues),Turkey,full,,
Genius Sports,Europe (major leagues),Poland,full,,
Genius Sports,Europe (major leagues),Scotland,full,,
Genius Sports,Europe (major leagues),Austria,full,,
Genius Sports,Europe (major leagues),Switzerland,full,,
Genius Sports,Europe (major leagues),Denmark,full,,
Genius Sports,Europe (major leagues),Sweden,full,,
Genius Sports,Europe (major leagues),Norway,full,,
Genius Sports,Europe (major leagues),Greece,full,,
Genius Sports,Europe (major leagues),Ukraine,full,,
Genius Sports,Europe (major leagues),Russia,full,,
Genius Sports,Europe (major leagues),Czech Republic,full,,
Genius Sports,Europe (major leagues),Croatia,full,,
Genius Sports,Europe (major leagues),Serbia,full,,
Genius Sports,Europe (major leagues),Romania,full,,
Genius Sports,Europe (major leagues),Hungary,full,,
Genius Sports,Europe (major leagues),Ireland,full,,
Genius Sports,Europe (major leagues),Wales,full,,
Genius Sports,Europe (major leagues),Finland,full,,
Genius Sports,Europe (major leagues),Iceland,full,,
Genius Sports,Europe (major leagues),Slovakia,full,,
Genius Sports,Europe (major leagues),Slovenia,full,,
Genius Sports,Europe (major leagues),Bulgaria,full,,
Genius Sports,Europe (major leagues),Bosnia and Herzegovina,full,,
Genius Sports,Europe (major leagues),Cyprus,full,,
Genius Sports,Europe (major leagues),Israel,full,,
Genius Sports,Europe (major leagues),Georgia,full,,
Genius Sports,Europe (major leagues),Azerbaijan,full,,
Genius Sports,Europe (major leagues),Kazakhstan,full,,
Genius Sports,Europe (major leagues),Albania,full,,
Genius Sports,Europe (major leagues),Montenegro,full,,
Genius Sports,North America,United States,partial,,
Genius Sports,North America,Canada,partial,,
Genius Sports,North America,Mexico,partial,,
Genius Sports,Asia-Pacific,Japan,unknown,,
Genius Sports,Asia-Pacific,South Korea,unknown,,
Genius Sports,Asia-Pacific,China,unknown,,
Genius Sports,Asia-Pacific,Australia,unknown,,
Genius Sports,Asia-Pacific,India,unknown,,
Genius Sports,Asia-Pacific,Thailand,unknown,,
Genius Sports,Asia-Pacific,Vietnam,unknown,,
Genius Sports,Asia-Pacific,Indonesia,unknown,,
Genius Sports,Asia-Pacific,Malaysia,unknown,,
Genius Sports,Asia-Pacific,Philippines,unknown,,
Genius Sports,Asia-Pacific,Singapore,unknown,,
Genius Sports,Asia-Pacific,Saudi Arabia,unknown,,
Genius Sports,Asia-Pacific,Qatar,unknown,,
Genius Sports,Asia-Pacific,United Arab Emirates,unknown,,
Genius Sports,Asia-Pacific,Iran,unknown,,
Genius Sports,Asia-Pacific,Iraq,unknown,,
Genius Sports,Asia-Pacific,New Zealand,unknown,,
Genius Sports,CAF / Continental Africa,South Africa,unknown,,
Genius Sports,CAF / Continental Africa,Nigeria,unknown,,
Genius Sports,CAF / Continental Africa,Ghana,unknown,,
Genius Sports,CAF / Continental Africa,Ivory Coast,unknown,,
Genius Sports,CAF / Continental Africa,Senegal,unknown,,
Genius Sports,CAF / Continental Africa,Cameroon,unknown,,
Genius Sports,CAF / Continental Africa,Kenya,unknown,,
Genius Sports,CAF / Continental Africa,Tanzania,unknown,,
Genius Sports,CAF / Continental Africa,Zambia,unknown,,
Genius Sports,CAF / Continental Africa,Mali,unknown,,
Genius Sports,CAF / Continental Africa,Ethiopia,unknown,,
Genius Sports,CAF / Continental Africa,Uganda,unknown,,
Genius Sports,CAF / Continental Africa,Zimbabwe,unknown,,
Genius Sports,CAF / Continental Africa,Angola,unknown,,
Genius Sports,CAF / Continental Africa,Mozambique,unknown,,
Genius Sports,CAF / Continental Africa,DR Congo,unknown,,
Genius Sports,CAF / Continental Africa,Rwanda,unknown,,
Genius Sports,CAF / Continental Africa,Burkina Faso,unknown,,
Genius Sports,CAF / Continental Africa,Guinea,unknown,,
Genius Sports,CAF / Continental Africa,Benin,unknown,,
Genius Sports,CAF / Continental Africa,Togo,unknown,,
Genius Sports,CAF / Continental Africa,Sierra Leone,unknown,,
Genius Sports,CAF / Continental Africa,Liberia,unknown,,
Genius Sports,CAF / Continental Africa,Gabon,unknown,,
Genius Sports,CAF / Continental Africa,Congo,unknown,,
Genius Sports,CAF / Continental Africa,Namibia,unknown,,
Genius Sports,CAF / Continental Africa,Botswana,unknown,,
Genius Sports,CAF / Continental Africa,Malawi,unknown,,
Genius Sports,CAF / Continental Africa,Madagascar,unknown,,
Genius Sports,CAF / Continental Africa,Sudan,unknown,,
Genius Sports,CAF / Continental Africa,Libya,unknown,,
Genius Sports,CAF / Continental Africa,Mauritania,unknown,,
Genius Sports,CAF / Continental Africa,Niger,unknown,,
Genius Sports,CAF / Continental Africa,Chad,unknown,,
Genius Sports,CAF / Continental Africa,Central African Republic,unknown,,
Genius Sports,CAF / Continental Africa,Eritrea,unknown,,
Genius Sports,CAF / Continental Africa,Djibouti,unknown,,
Genius Sports,CAF / Continental Africa,Somalia,unknown,,
Genius Sports,CAF / Continental Africa,Burundi,unknown,,
Genius Sports,CAF / Continental Africa,Eswatini,unknown,,
Genius Sports,CAF / Continental Africa,Lesotho,unknown,,
Genius Sports,CAF / Continental Africa,Gambia,unknown,,
Genius Sports,CAF / Continental Africa,Guinea-Bissau,unknown,,
Genius Sports,CAF / Continental Africa,Cape Verde,unknown,,
Genius Sports,CAF / Continental Africa,Equatorial Guinea,unknown,,
Genius Sports,CAF / Continental Africa,Comoros,unknown,,
Genius Sports,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Morocco,none,,
Genius Sports,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Algeria,none,,
Genius Sports,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Tunisia,none,,
Genius Sports,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Egypt,none,,
Genius Sports,South America,Brazil,full,,
Genius Sports,South America,Argentina,full,"Confirmed Genius Sports exclusive long-term official data, streaming and integrity partnership with the Argentine Football Association (AFA)",
Genius Sports,South America,Uruguay,full,,
Genius Sports,South America,Chile,full,,
Genius Sports,South America,Colombia,full,,
Genius Sports,South America,Peru,full,,
Genius Sports,South America,Ecuador,full,,
Genius Sports,South America,Paraguay,full,,
Genius Sports,South America,Bolivia,full,,
Genius Sports,South America,Venezuela,full,,
Hudl,Europe (major leagues),England,full,,
Hudl,Europe (major leagues),Spain,full,,
Hudl,Europe (major leagues),Germany,full,,
Hudl,Europe (major leagues),France,full,,
Hudl,Europe (major leagues),Italy,full,,
Hudl,Europe (major leagues),Netherlands,full,,
Hudl,Europe (major leagues),Portugal,full,,
Hudl,Europe (major leagues),Belgium,full,,
Hudl,Europe (major leagues),Turkey,full,,
Hudl,Europe (major leagues),Poland,full,,
Hudl,Europe (major leagues),Scotland,full,,
Hudl,Europe (major leagues),Austria,full,,
Hudl,Europe (major leagues),Switzerland,full,,
Hudl,Europe (major leagues),Denmark,full,,
Hudl,Europe (major leagues),Sweden,full,,
Hudl,Europe (major leagues),Norway,full,,
Hudl,Europe (major leagues),Greece,full,,
Hudl,Europe (major leagues),Ukraine,full,,
Hudl,Europe (major leagues),Russia,full,,
Hudl,Europe (major leagues),Czech Republic,full,,
Hudl,Europe (major leagues),Croatia,full,,
Hudl,Europe (major leagues),Serbia,full,,
Hudl,Europe (major leagues),Romania,full,,
Hudl,Europe (major leagues),Hungary,full,,
Hudl,Europe (major leagues),Ireland,full,,
Hudl,Europe (major leagues),Wales,full,,
Hudl,Europe (major leagues),Finland,full,,
Hudl,Europe (major leagues),Iceland,full,,
Hudl,Europe (major leagues),Slovakia,full,,
Hudl,Europe (major leagues),Slovenia,full,,
Hudl,Europe (major leagues),Bulgaria,full,,
Hudl,Europe (major leagues),Bosnia and Herzegovina,full,,
Hudl,Europe (major leagues),Cyprus,full,,
Hudl,Europe (major leagues),Israel,full,,
Hudl,Europe (major leagues),Georgia,full,,
Hudl,Europe (major leagues),Azerbaijan,full,,
Hudl,Europe (major leagues),Kazakhstan,full,,
Hudl,Europe (major leagues),Albania,full,,
Hudl,Europe (major leagues),Montenegro,full,,
Hudl,North America,United States,partial,,
Hudl,North America,Canada,partial,,
Hudl,North America,Mexico,partial,,
Hudl,Asia-Pacific,Japan,unknown,,
Hudl,Asia-Pacific,South Korea,unknown,,
Hudl,Asia-Pacific,China,unknown,,
Hudl,Asia-Pacific,Australia,unknown,,
Hudl,Asia-Pacific,India,unknown,,
Hudl,Asia-Pacific,Thailand,unknown,,
Hudl,Asia-Pacific,Vietnam,unknown,,
Hudl,Asia-Pacific,Indonesia,unknown,,
Hudl,Asia-Pacific,Malaysia,unknown,,
Hudl,Asia-Pacific,Philippines,unknown,,
Hudl,Asia-Pacific,Singapore,unknown,,
Hudl,Asia-Pacific,Saudi Arabia,unknown,,
Hudl,Asia-Pacific,Qatar,unknown,,
Hudl,Asia-Pacific,United Arab Emirates,unknown,,
Hudl,Asia-Pacific,Iran,unknown,,
Hudl,Asia-Pacific,Iraq,unknown,,
Hudl,Asia-Pacific,New Zealand,unknown,,
Hudl,CAF / Continental Africa,South Africa,full,"Confirmed exclusive Hudl/Wyscout deal with South Africa's PSL covering DStv Premiership, Motsepe Foundation Championship, DStv Diski Challenge (2024-25, 2025-26 seasons)",
Hudl,CAF / Continental Africa,Nigeria,unknown,,
Hudl,CAF / Continental Africa,Ghana,unknown,,
Hudl,CAF / Continental Africa,Ivory Coast,unknown,,
Hudl,CAF / Continental Africa,Senegal,unknown,,
Hudl,CAF / Continental Africa,Cameroon,unknown,,
Hudl,CAF / Continental Africa,Kenya,unknown,,
Hudl,CAF / Continental Africa,Tanzania,unknown,,
Hudl,CAF / Continental Africa,Zambia,unknown,,
Hudl,CAF / Continental Africa,Mali,unknown,,
Hudl,CAF / Continental Africa,Ethiopia,unknown,,
Hudl,CAF / Continental Africa,Uganda,unknown,,
Hudl,CAF / Continental Africa,Zimbabwe,unknown,,
Hudl,CAF / Continental Africa,Angola,unknown,,
Hudl,CAF / Continental Africa,Mozambique,unknown,,
Hudl,CAF / Continental Africa,DR Congo,unknown,,
Hudl,CAF / Continental Africa,Rwanda,unknown,,
Hudl,CAF / Continental Africa,Burkina Faso,unknown,,
Hudl,CAF / Continental Africa,Guinea,unknown,,
Hudl,CAF / Continental Africa,Benin,unknown,,
Hudl,CAF / Continental Africa,Togo,unknown,,
Hudl,CAF / Continental Africa,Sierra Leone,unknown,,
Hudl,CAF / Continental Africa,Liberia,unknown,,
Hudl,CAF / Continental Africa,Gabon,unknown,,
Hudl,CAF / Continental Africa,Congo,unknown,,
Hudl,CAF / Continental Africa,Namibia,unknown,,
Hudl,CAF / Continental Africa,Botswana,unknown,,
Hudl,CAF / Continental Africa,Malawi,unknown,,
Hudl,CAF / Continental Africa,Madagascar,unknown,,
Hudl,CAF / Continental Africa,Sudan,unknown,,
Hudl,CAF / Continental Africa,Libya,unknown,,
Hudl,CAF / Continental Africa,Mauritania,unknown,,
Hudl,CAF / Continental Africa,Niger,unknown,,
Hudl,CAF / Continental Africa,Chad,unknown,,
Hudl,CAF / Continental Africa,Central African Republic,unknown,,
Hudl,CAF / Continental Africa,Eritrea,unknown,,
Hudl,CAF / Continental Africa,Djibouti,unknown,,
Hudl,CAF / Continental Africa,Somalia,unknown,,
Hudl,CAF / Continental Africa,Burundi,unknown,,
Hudl,CAF / Continental Africa,Eswatini,unknown,,
Hudl,CAF / Continental Africa,Lesotho,unknown,,
Hudl,CAF / Continental Africa,Gambia,unknown,,
Hudl,CAF / Continental Africa,Guinea-Bissau,unknown,,
Hudl,CAF / Continental Africa,Cape Verde,unknown,,
Hudl,CAF / Continental Africa,Equatorial Guinea,unknown,,
Hudl,CAF / Continental Africa,Comoros,unknown,,
Hudl,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Morocco,partial,"Confirmed Hudl partnership with the Fédération Royale Marocaine de Football (FRMF, announced April 2022): Hudl Sportscode + Wyscout training/licensing for FRMF and Botola Pro performance analysts. This is federation-level tool/training access, not an official league-wide statistics-provider deal of the kind Opta or Stats Perform hold elsewhere -- recorded as partial, not full, to keep that distinction honest.",
Hudl,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Algeria,unknown,Re-checked directly with French-language sources (Aug 2026): no equivalent federation or league data/analysis partnership found for the Fédération Algérienne de Football or Ligue de Football Professionnel (Algeria),plausible_gap
Hudl,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Tunisia,unknown,Re-checked directly with French-language sources (Aug 2026): no equivalent federation or league data/analysis partnership found for the Tunisian Ligue Professionnelle 1,plausible_gap
Hudl,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Egypt,unknown,Re-checked directly (Aug 2026): no equivalent federation or league data/analysis partnership found for the Egyptian Premier League,plausible_gap
Hudl,South America,Brazil,unknown,,
Hudl,South America,Argentina,unknown,,
Hudl,South America,Uruguay,unknown,,
Hudl,South America,Chile,unknown,,
Hudl,South America,Colombia,unknown,,
Hudl,South America,Peru,unknown,,
Hudl,South America,Ecuador,unknown,,
Hudl,South America,Paraguay,unknown,,
Hudl,South America,Bolivia,unknown,,
Hudl,South America,Venezuela,unknown,,
SkillCorner,Europe (major leagues),England,full,,
SkillCorner,Europe (major leagues),Spain,full,,
SkillCorner,Europe (major leagues),Germany,full,,
SkillCorner,Europe (major leagues),France,full,,
SkillCorner,Europe (major leagues),Italy,full,,
SkillCorner,Europe (major leagues),Netherlands,full,,
SkillCorner,Europe (major leagues),Portugal,full,,
SkillCorner,Europe (major leagues),Belgium,full,,
SkillCorner,Europe (major leagues),Turkey,full,,
SkillCorner,Europe (major leagues),Poland,full,,
SkillCorner,Europe (major leagues),Scotland,full,,
SkillCorner,Europe (major leagues),Austria,full,,
SkillCorner,Europe (major leagues),Switzerland,full,,
SkillCorner,Europe (major leagues),Denmark,full,,
SkillCorner,Europe (major leagues),Sweden,full,,
SkillCorner,Europe (major leagues),Norway,full,,
SkillCorner,Europe (major leagues),Greece,full,,
SkillCorner,Europe (major leagues),Ukraine,full,,
SkillCorner,Europe (major leagues),Russia,full,,
SkillCorner,Europe (major leagues),Czech Republic,full,,
SkillCorner,Europe (major leagues),Croatia,full,,
SkillCorner,Europe (major leagues),Serbia,full,,
SkillCorner,Europe (major leagues),Romania,full,,
SkillCorner,Europe (major leagues),Hungary,full,,
SkillCorner,Europe (major leagues),Ireland,full,,
SkillCorner,Europe (major leagues),Wales,full,,
SkillCorner,Europe (major leagues),Finland,full,,
SkillCorner,Europe (major leagues),Iceland,full,,
SkillCorner,Europe (major leagues),Slovakia,full,,
SkillCorner,Europe (major leagues),Slovenia,full,,
SkillCorner,Europe (major leagues),Bulgaria,full,,
SkillCorner,Europe (major leagues),Bosnia and Herzegovina,full,,
SkillCorner,Europe (major leagues),Cyprus,full,,
SkillCorner,Europe (major leagues),Israel,full,,
SkillCorner,Europe (major leagues),Georgia,full,,
SkillCorner,Europe (major leagues),Azerbaijan,full,,
SkillCorner,Europe (major leagues),Kazakhstan,full,,
SkillCorner,Europe (major leagues),Albania,full,,
SkillCorner,Europe (major leagues),Montenegro,full,,
SkillCorner,North America,United States,partial,,
SkillCorner,North America,Canada,partial,,
SkillCorner,North America,Mexico,partial,,
SkillCorner,Asia-Pacific,Japan,unknown,,
SkillCorner,Asia-Pacific,South Korea,unknown,,
SkillCorner,Asia-Pacific,China,unknown,,
SkillCorner,Asia-Pacific,Australia,unknown,,
SkillCorner,Asia-Pacific,India,unknown,,
SkillCorner,Asia-Pacific,Thailand,unknown,,
SkillCorner,Asia-Pacific,Vietnam,unknown,,
SkillCorner,Asia-Pacific,Indonesia,unknown,,
SkillCorner,Asia-Pacific,Malaysia,unknown,,
SkillCorner,Asia-Pacific,Philippines,unknown,,
SkillCorner,Asia-Pacific,Singapore,unknown,,
SkillCorner,Asia-Pacific,Saudi Arabia,unknown,,
SkillCorner,Asia-Pacific,Qatar,unknown,,
SkillCorner,Asia-Pacific,United Arab Emirates,unknown,,
SkillCorner,Asia-Pacific,Iran,unknown,,
SkillCorner,Asia-Pacific,Iraq,unknown,,
SkillCorner,Asia-Pacific,New Zealand,unknown,,
SkillCorner,CAF / Continental Africa,South Africa,unknown,,
SkillCorner,CAF / Continental Africa,Nigeria,unknown,,
SkillCorner,CAF / Continental Africa,Ghana,unknown,,
SkillCorner,CAF / Continental Africa,Ivory Coast,unknown,,
SkillCorner,CAF / Continental Africa,Senegal,unknown,,
SkillCorner,CAF / Continental Africa,Cameroon,unknown,,
SkillCorner,CAF / Continental Africa,Kenya,unknown,,
SkillCorner,CAF / Continental Africa,Tanzania,unknown,,
SkillCorner,CAF / Continental Africa,Zambia,unknown,,
SkillCorner,CAF / Continental Africa,Mali,unknown,,
SkillCorner,CAF / Continental Africa,Ethiopia,unknown,,
SkillCorner,CAF / Continental Africa,Uganda,unknown,,
SkillCorner,CAF / Continental Africa,Zimbabwe,unknown,,
SkillCorner,CAF / Continental Africa,Angola,unknown,,
SkillCorner,CAF / Continental Africa,Mozambique,unknown,,
SkillCorner,CAF / Continental Africa,DR Congo,unknown,,
SkillCorner,CAF / Continental Africa,Rwanda,unknown,,
SkillCorner,CAF / Continental Africa,Burkina Faso,unknown,,
SkillCorner,CAF / Continental Africa,Guinea,unknown,,
SkillCorner,CAF / Continental Africa,Benin,unknown,,
SkillCorner,CAF / Continental Africa,Togo,unknown,,
SkillCorner,CAF / Continental Africa,Sierra Leone,unknown,,
SkillCorner,CAF / Continental Africa,Liberia,unknown,,
SkillCorner,CAF / Continental Africa,Gabon,unknown,,
SkillCorner,CAF / Continental Africa,Congo,unknown,,
SkillCorner,CAF / Continental Africa,Namibia,unknown,,
SkillCorner,CAF / Continental Africa,Botswana,unknown,,
SkillCorner,CAF / Continental Africa,Malawi,unknown,,
SkillCorner,CAF / Continental Africa,Madagascar,unknown,,
SkillCorner,CAF / Continental Africa,Sudan,unknown,,
SkillCorner,CAF / Continental Africa,Libya,unknown,,
SkillCorner,CAF / Continental Africa,Mauritania,unknown,,
SkillCorner,CAF / Continental Africa,Niger,unknown,,
SkillCorner,CAF / Continental Africa,Chad,unknown,,
SkillCorner,CAF / Continental Africa,Central African Republic,unknown,,
SkillCorner,CAF / Continental Africa,Eritrea,unknown,,
SkillCorner,CAF / Continental Africa,Djibouti,unknown,,
SkillCorner,CAF / Continental Africa,Somalia,unknown,,
SkillCorner,CAF / Continental Africa,Burundi,unknown,,
SkillCorner,CAF / Continental Africa,Eswatini,unknown,,
SkillCorner,CAF / Continental Africa,Lesotho,unknown,,
SkillCorner,CAF / Continental Africa,Gambia,unknown,,
SkillCorner,CAF / Continental Africa,Guinea-Bissau,unknown,,
SkillCorner,CAF / Continental Africa,Cape Verde,unknown,,
SkillCorner,CAF / Continental Africa,Equatorial Guinea,unknown,,
SkillCorner,CAF / Continental Africa,Comoros,unknown,,
SkillCorner,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Morocco,none,,
SkillCorner,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Algeria,none,,
SkillCorner,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Tunisia,none,,
SkillCorner,"North Africa (Morocco, Algeria, Tunisia, Egypt)",Egypt,none,,
SkillCorner,South America,Brazil,partial,,
SkillCorner,South America,Argentina,partial,,
SkillCorner,South America,Uruguay,partial,,
SkillCorner,South America,Chile,partial,,
SkillCorner,South America,Colombia,partial,,
SkillCorner,South America,Peru,partial,,
SkillCorner,South America,Ecuador,partial,,
SkillCorner,South America,Paraguay,partial,,
SkillCorner,South America,Bolivia,partial,,
SkillCorner,South America,Venezuela,partial,,
Sportradar,Europe (major leagues),England,full,,
Sportradar,Europe (major leagues),Spain,full,,
Sportradar,Europe (major leagues),Germany,full,,
Sportradar,Europe (major leagues),France,full,,
Sportradar,Europe (major leagues),Italy,full,,
Sportradar,Europe (major leagues),Netherlands,full,,
Sportradar,Europe (major leagues),Portugal,full,,
Sportradar,Europe (major leagues),Belgium,full,,
Sportradar,Europe (major leagues),Turkey,full,,
Sportradar,Europe (major leagues),Poland,full,,
Sportradar,Europe (major leagues),Scotland,full,,
Sportradar,Europe (major leagues),Austria,full,,
Sportradar,Europe (major leagues),Switzerland,full,,
Sportradar,Europe (major leagues),Denmark,full,,
Sportradar,Europe (major leagues),Sweden,full,,
Sportradar,Europe (major leagues),Norway,full,,
Sportradar,Europe (major leagues),Greece,full,,
Sportradar,Europe (major leagues),Ukraine,full,,
Sportradar,Europe (major leagues),Russia,full,,
Sportradar,Europe (major leagues),Czech Republic,full,,
Sportradar,Europe (major leagues),Croatia,full,,
Sportradar,Europe (major leagues),Serbia,full,,
Sportradar,Europe (major leagues),Romania,full,,
Sportradar,Europe (major leagues),Hungary,full,,
Sportradar,Europe (major leagues),Ireland,full,,
Sportradar,Europe (major leagues),Wales,full,,
Sportradar,Europe (major leagues),Finland,full,,
Sportradar,Europe (major leagues),Iceland,full,,
Sportradar,Europe (major leagues),Slovakia,full,,
Sportradar,Europe (major leagues),Slovenia,full,,
Sportradar,Europe (major leagues),Bulgaria,full,,
Sportradar,Europe (major leagues),Bosnia and Herzegovina,full,,
Sportradar,Europe (major leagues),Cyprus,full,,
Sportradar,Europe (major leagues),Israel,full,,
Sportradar,Europe (major leagues),Georgia,full,,
Sportradar,Europe (major leagues),Azerbaijan,full,,
Sportradar,Europe (major leagues),Kazakhstan,full,,
Sportradar,Europe (major leagues),Albania,full,,
Sportradar,Europe (major leagues),Montenegro,full,,
